DISTRITO,tmin_mean_total
CODO DEL POZUZO,18.761000246422316
TOURNAVISTA,22.048223341557016
ALEXANDER VON HUMBOLDT,21.86290740966797
IRAZOLA,22.097315240675407
NESHUYA,21.937903109463782
PADRE ABAD,20.078721400669643
CURIMANA,22.027528036794354
PUERTO INCA,21.585726224459137
NUEVA REQUENA,22.053294836956518
CAMPOVERDE,21.91120784108232
CONTAMANA,21.204777664811644
HUANCHACO,17.633370293511284
SANTIAGO DE CAO,18.339739990234374
SIMBAL,16.16620566628196
MAGDALENA DE CAO,18.065458424886067
CHOCOPE,18.007087453206378
PAIJAN,18.02424850463867
SINSICAP,13.194317626953126
CHICAMA,17.896813583374023
RAZURI,17.801843539151278
MARMOT,14.433559265136719
ASCOPE,17.86426200866699
CASCAS,14.196843338012695
CASA GRANDE,17.67258046468099
SAN BENITO,15.870680618286134
SAN PEDRO DE LLOC,17.878908575148813
CUPISNIQUE,14.989034356011285
CORONEL GREGORIO ALBARRACIN LANCHIPA,14.800521850585938
POCOLLAY,12.301860894097222
CALANA,11.864772415161132
TACNA,12.454092407226563
SAMA,15.038134765625
CIUDAD NUEVA,11.816229030064173
ITE,15.359222412109375
ILO,15.844210815429687
ALTO DE LA ALIANZA,11.760835571289062
PACHIA,8.70885154322574
ESTIQUE-PAMPA,5.7463860511779785
ESTIQUE,4.406302871704102
TARUCACHI,0.7286340832710266
INCLAN,12.516345480213994
LOCUMBA,13.195778547014509
EL ALGARROBAL,14.18482719089674
PALCA,-2.3034716624133993
HEROES ALBARRACIN,8.727951267787388
CURIBAYA,8.13548011779785
SITAJARA,5.639105309380425
QUILAHUANI,4.741020774841308
PACOCHA,15.797515164888821
TARATA,-4.995735876900809
HUANUARA,3.998790868123373
TICACO,-4.41739467274059
ILABAYA,10.189268663194445
SAMEGUA,12.443450355529786
PUNTA DE BOMBON,14.85192845662435
CAIRANI,-0.25178641080856323
SUSAPAYA,-5.157803344726562
DEAN VALDIVIA,16.02255916595459
CAMILACA,-2.2415350777762275
MEJIA,14.903877258300781
CAPAZO,-5.191071134000211
CANDARAVE,-4.359306534476902
ISLAY,14.467289595170453
TORATA,3.428558049436475
MOQUEGUA,12.235452270507812
CUCHUMBAYA,3.2336862564086912
PISACOMA,-3.2487246889056585
COCACHACRA,13.617548384232956
MOLLENDO,12.879730428059895
LA CAPILLA,10.651360595703125
CAMANA,17.38395881652832
QUINISTAQUILLAS,4.655208778381348
JOSE MARIA QUIMPER,
KELLUYO,-1.3415794821346505
SAN CRISTOBAL,0.4068477630615234
DESAGUADERO,-0.21370192646980285
SAMUEL PASTOR,16.323426818847658
QUEQUEÑA,8.302305889129638
OMATE,4.018660593032837
SANTA ROSA,-4.86188007701527
YARABAMBA,8.87248772515191
POLOBAYA,6.497388567243304
MOLLEBAYA,
CARUMAS,-3.411974711357793
PUQUINA,3.900422134399414
QUILCA,14.33220329284668
COALAQUE,0.3267089313930936
HUACULLANI,-1.9240907578241255
SOCABAYA,
POCSI,3.863808441162109
JACOBO HUNTER,9.244612884521484
SABANDIA,
CONDURIRI,-2.4478748180248124
JOSE LUIS BUSTAMANTE Y RIVERO,
TIABAYA,9.039601135253907
SACHACA,
